Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;191.95;0.11;25.57;32.46;24.76
2;192.0;0.11;25.56;31.91;24.66
3;192.05;0.1;25.56;31.67;24.61
4;192.1;0.09;25.56;31.51;24.58
5;192.15;0.09;25.56;31.41;24.56
6;192.2;0.08;25.56;31.32;24.54
7;192.25;0.08;25.56;31.25;24.52
8;192.3;0.07;25.56;31.2;24.51
9;192.35;0.06;25.56;31.15;24.5
10;192.4;0.05;25.56;31.11;24.49
11;192.45;0.05;25.55;31.07;24.48
12;192.5;0.04;25.55;31.04;24.47
13;192.55;0.04;25.55;31.01;24.46
14;192.6;0.03;25.55;30.98;24.46
15;192.65;0.03;25.55;30.96;24.45
16;192.7;0.02;25.55;30.94;24.45
17;192.75;0.01;25.55;30.92;24.44
18;192.8;0.01;25.55;30.9;24.44
19;192.85;0.01;25.55;30.89;24.43
20;192.9;0.0;25.55;30.87;24.43
21;192.95;-0.0;25.54;30.86;24.42
22;193.0;-0.01;25.54;30.85;24.42
23;193.05;-0.01;25.54;30.83;24.42
24;193.1;-0.01;25.54;30.82;24.41
25;193.15;-0.02;25.54;30.82;24.41
26;193.2;-0.03;25.54;30.81;24.41
27;193.25;-0.03;25.54;30.8;24.41
28;193.3;-0.03;25.54;30.79;24.4
29;193.35;-0.03;25.54;30.78;24.4
30;193.4;-0.03;25.54;30.78;24.4
31;193.45;-0.03;25.53;30.77;24.4
32;193.5;-0.04;25.53;30.77;24.4
33;193.55;-0.04;25.53;30.76;24.39
34;193.6;-0.04;25.53;30.76;24.39
35;193.65;-0.05;25.53;30.76;24.39
36;193.7;-0.05;25.53;30.76;24.39
37;193.75;-0.05;25.53;30.75;24.39
38;193.8;-0.06;25.53;30.75;24.39
39;193.85;-0.06;25.53;30.75;24.39
40;193.9;-0.07;25.53;30.75;24.39
41;193.95;-0.08;25.52;30.75;24.38
42;194.0;-0.08;25.52;30.75;24.38
43;194.05;-0.08;25.52;30.75;24.38
44;194.1;-0.09;25.52;30.75;24.38
45;194.15;-0.1;25.52;30.76;24.38
46;194.2;-0.1;25.52;30.76;24.38
47;194.25;-0.11;25.52;30.76;24.38
48;194.3;-0.11;25.52;30.76;24.38
49;194.35;-0.12;25.52;30.77;24.38
50;194.4;-0.13;25.52;30.77;24.38
51;194.45;-0.14;25.51;30.78;24.38
52;194.5;-0.14;25.51;30.78;24.38
53;194.55;-0.15;25.51;30.79;24.38
54;194.6;-0.15;25.51;30.8;24.39
55;194.65;-0.15;25.51;30.81;24.39
56;194.7;-0.14;25.51;30.82;24.39
57;194.75;-0.14;25.51;30.82;24.39
58;194.8;-0.14;25.51;30.83;24.39
59;194.85;-0.13;25.51;30.85;24.39
60;194.9;-0.12;25.51;30.86;24.39
61;194.95;-0.11;25.5;30.87;24.4
62;195.0;-0.09;25.5;30.89;24.4
63;195.05;-0.07;25.5;30.9;24.4
64;195.1;-0.05;25.5;30.92;24.4
65;195.15;-0.03;25.5;30.94;24.41
66;195.2;-0.01;25.5;30.96;24.41
67;195.25;0.01;25.5;30.98;24.42
68;195.3;0.04;25.5;31.01;24.42
69;195.35;0.07;25.5;31.04;24.43
70;195.4;0.1;25.49;31.07;24.43
71;195.45;0.13;25.49;31.11;24.44
72;195.5;0.15;25.49;31.15;24.45
73;195.55;0.17;25.49;31.2;24.46
74;195.6;0.19;25.49;31.25;24.47
75;195.65;0.21;25.49;31.32;24.48
76;195.7;0.22;25.49;31.41;24.5
77;195.75;0.24;25.49;31.51;24.52
78;195.8;0.24;25.49;31.67;24.55
79;195.85;0.25;25.49;31.91;24.59
80;195.9;0.25;25.48;32.46;24.69
