Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;3.87;28.54;25.84;23.97
2;192.1;3.86;28.53;25.41;23.68
3;192.2;3.8;28.49;25.3;23.6
4;192.3;3.67;28.44;25.31;23.59
5;192.4;3.5;28.38;25.38;23.61
6;192.5;3.28;28.32;25.47;23.65
7;192.6;3.08;28.26;25.55;23.69
8;192.7;2.89;28.21;25.64;23.73
9;192.8;2.73;28.18;25.73;23.77
10;192.9;2.6;28.14;25.81;23.81
11;193.0;2.46;28.09;25.9;23.85
12;193.1;2.32;28.04;25.99;23.89
13;193.2;2.18;28.01;26.09;23.93
14;193.3;2.03;27.93;26.2;23.97
15;193.4;1.89;27.9;26.3;24.02
16;193.5;1.7;27.81;26.43;24.05
17;193.6;1.5;27.76;26.56;24.11
18;193.7;1.29;27.68;26.7;24.15
19;193.8;1.09;27.61;26.83;24.2
20;193.9;0.89;27.56;26.97;24.24
21;194.0;0.69;27.49;27.1;24.28
22;194.1;0.48;27.42;27.23;24.31
23;194.2;0.29;27.35;27.35;24.34
24;194.3;0.12;27.28;27.46;24.36
25;194.4;-0.04;27.23;27.58;24.39
26;194.5;-0.18;27.19;27.68;24.42
27;194.6;-0.31;27.13;27.79;24.44
28;194.7;-0.45;27.06;27.91;24.46
29;194.8;-0.59;26.99;28.05;24.48
30;194.9;-0.83;26.87;28.23;24.49
31;195.0;-1.13;26.73;28.45;24.49
32;195.1;-1.55;26.52;28.71;24.47
33;195.2;-2.16;26.28;29.03;24.43
34;195.3;-2.9;25.96;29.36;24.33
35;195.4;-3.8;25.6;29.69;24.17
36;195.5;-4.78;25.22;30.01;23.98
37;195.6;-5.7;24.84;30.3;23.75
38;195.7;-6.5;24.53;30.57;23.56
39;195.8;-7.14;24.28;30.87;23.42
40;195.9;-7.62;24.1;31.3;23.34
