Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;0.41;27.29;28.62;24.89
2;192.1;0.35;27.27;28.2;24.7
3;192.2;0.32;27.26;28.02;24.61
4;192.3;0.26;27.24;27.93;24.56
5;192.4;0.2;27.22;27.87;24.52
6;192.5;0.15;27.2;27.83;24.49
7;192.6;0.12;27.19;27.8;24.47
8;192.7;0.06;27.16;27.79;24.46
9;192.8;0.02;27.15;27.78;24.44
10;192.9;-0.01;27.14;27.77;24.43
11;193.0;-0.05;27.13;27.76;24.42
12;193.1;-0.06;27.12;27.76;24.42
13;193.2;-0.12;27.1;27.77;24.41
14;193.3;-0.15;27.09;27.77;24.4
15;193.4;-0.15;27.08;27.77;24.4
16;193.5;-0.17;27.08;27.77;24.4
17;193.6;-0.2;27.07;27.77;24.4
18;193.7;-0.22;27.05;27.78;24.39
19;193.8;-0.25;27.04;27.8;24.39
20;193.9;-0.31;27.02;27.82;24.39
21;194.0;-0.34;27.01;27.84;24.39
22;194.1;-0.39;26.99;27.86;24.4
23;194.2;-0.44;26.97;27.89;24.4
24;194.3;-0.47;26.96;27.91;24.4
25;194.4;-0.56;26.93;27.95;24.4
26;194.5;-0.59;26.92;27.97;24.4
27;194.6;-0.6;26.91;27.98;24.4
28;194.7;-0.6;26.91;27.99;24.41
29;194.8;-0.57;26.92;27.98;24.41
30;194.9;-0.5;26.94;27.97;24.41
31;195.0;-0.39;26.97;27.94;24.42
32;195.1;-0.23;27.03;27.89;24.42
33;195.2;-0.05;27.08;27.83;24.43
34;195.3;0.15;27.15;27.77;24.44
35;195.4;0.38;27.22;27.7;24.44
36;195.5;0.59;27.28;27.66;24.46
37;195.6;0.73;27.33;27.66;24.48
38;195.7;0.87;27.37;27.7;24.52
39;195.8;0.95;27.39;27.85;24.6
40;195.9;0.98;27.4;28.27;24.8
