Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;191.95;-0.52;23.77;26.85;22.03
2;192.0;-0.52;23.77;26.3;21.84
3;192.05;-0.52;23.76;26.06;21.75
4;192.1;-0.52;23.76;25.91;21.69
5;192.15;-0.52;23.77;25.79;21.65
6;192.2;-0.51;23.77;25.71;21.62
7;192.25;-0.51;23.77;25.64;21.59
8;192.3;-0.51;23.77;25.58;21.57
9;192.35;-0.5;23.77;25.53;21.55
10;192.4;-0.5;23.77;25.48;21.53
11;192.45;-0.5;23.77;25.44;21.52
12;192.5;-0.49;23.77;25.4;21.5
13;192.55;-0.49;23.77;25.37;21.49
14;192.6;-0.48;23.77;25.34;21.48
15;192.65;-0.48;23.77;25.31;21.46
16;192.7;-0.47;23.77;25.29;21.46
17;192.75;-0.47;23.79;25.27;21.45
18;192.8;-0.47;23.79;25.24;21.45
19;192.85;-0.46;23.79;25.22;21.44
20;192.9;-0.46;23.79;25.21;21.43
21;192.95;-0.46;23.79;25.19;21.42
22;193.0;-0.45;23.79;25.17;21.41
23;193.05;-0.45;23.79;25.16;21.41
24;193.1;-0.44;23.79;25.14;21.4
25;193.15;-0.44;23.8;25.13;21.4
26;193.2;-0.44;23.8;25.12;21.4
27;193.25;-0.43;23.79;25.1;21.39
28;193.3;-0.43;23.78;25.09;21.37
29;193.35;-0.42;23.79;25.08;21.38
30;193.4;-0.42;23.8;25.07;21.38
31;193.45;-0.41;23.78;25.06;21.37
32;193.5;-0.41;23.77;25.05;21.35
33;193.55;-0.4;23.78;25.04;21.36
34;193.6;-0.4;23.79;25.03;21.36
35;193.65;-0.39;23.79;25.03;21.35
36;193.7;-0.39;23.79;25.02;21.35
37;193.75;-0.38;23.79;25.01;21.35
38;193.8;-0.38;23.79;25.0;21.35
39;193.85;-0.37;23.8;25.0;21.35
40;193.9;-0.37;23.81;24.99;21.35
41;193.95;-0.36;23.81;24.99;21.35
42;194.0;-0.36;23.81;24.98;21.35
43;194.05;-0.35;23.81;24.98;21.35
44;194.1;-0.35;23.81;24.98;21.34
45;194.15;-0.34;23.81;24.97;21.34
46;194.2;-0.34;23.81;24.97;21.34
47;194.25;-0.33;23.81;24.97;21.34
48;194.3;-0.33;23.81;24.97;21.34
49;194.35;-0.33;23.8;24.97;21.34
50;194.4;-0.32;23.8;24.97;21.34
51;194.45;-0.32;23.81;24.97;21.34
52;194.5;-0.31;23.82;24.97;21.35
53;194.55;-0.31;23.82;24.97;21.35
54;194.6;-0.3;23.81;24.97;21.34
55;194.65;-0.3;23.81;24.98;21.34
56;194.7;-0.29;23.8;24.98;21.34
57;194.75;-0.29;23.8;24.98;21.34
58;194.8;-0.28;23.79;24.99;21.34
59;194.85;-0.28;23.79;24.99;21.34
60;194.9;-0.27;23.79;25.0;21.34
61;194.95;-0.26;23.78;25.0;21.34
62;195.0;-0.25;23.78;25.01;21.34
63;195.05;-0.24;23.79;25.01;21.35
64;195.1;-0.23;23.79;25.02;21.35
65;195.15;-0.21;23.81;25.02;21.36
66;195.2;-0.2;23.83;25.03;21.38
67;195.25;-0.18;23.84;25.04;21.39
68;195.3;-0.17;23.85;25.05;21.4
69;195.35;-0.15;23.87;25.06;21.41
70;195.4;-0.13;23.88;25.08;21.43
71;195.45;-0.12;23.91;25.1;21.46
72;195.5;-0.1;23.93;25.13;21.48
73;195.55;-0.09;23.93;25.16;21.49
74;195.6;-0.07;23.94;25.21;21.52
75;195.65;-0.06;23.95;25.26;21.55
76;195.7;-0.05;23.97;25.34;21.59
77;195.75;-0.04;23.99;25.44;21.64
78;195.8;-0.03;24.0;25.58;21.71
79;195.85;-0.02;24.01;25.82;21.81
80;195.9;-0.02;24.02;26.38;22.03
