Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;-0.03;24.38;34.56;23.98
2;192.1;-0.03;24.37;34.12;23.93
3;192.2;-0.04;24.32;33.92;23.86
4;192.3;-0.05;24.26;33.8;23.8
5;192.4;-0.05;24.23;33.71;23.76
6;192.5;-0.05;24.21;33.64;23.74
7;192.6;-0.03;24.22;33.59;23.75
8;192.7;-0.05;24.2;33.55;23.72
9;192.8;-0.05;24.21;33.52;23.73
10;192.9;-0.04;24.24;33.49;23.75
11;193.0;-0.05;24.26;33.46;23.76
12;193.1;-0.05;24.29;33.44;23.79
13;193.2;-0.03;24.28;33.42;23.78
14;193.3;-0.05;24.31;33.41;23.81
15;193.4;-0.05;24.31;33.4;23.81
16;193.5;-0.05;24.32;33.39;23.81
17;193.6;-0.04;24.32;33.38;23.82
18;193.7;-0.04;24.35;33.37;23.84
19;193.8;-0.05;24.34;33.37;23.83
20;193.9;-0.05;24.33;33.37;23.82
21;194.0;-0.05;24.34;33.37;23.83
22;194.1;-0.05;24.38;33.37;23.87
23;194.2;-0.05;24.41;33.37;23.89
24;194.3;-0.05;24.45;33.38;23.93
25;194.4;-0.05;24.49;33.39;23.97
26;194.5;-0.05;24.56;33.4;24.03
27;194.6;-0.05;24.6;33.41;24.06
28;194.7;-0.05;24.63;33.42;24.09
29;194.8;-0.05;24.64;33.44;24.1
30;194.9;-0.05;24.65;33.46;24.11
31;195.0;-0.05;24.61;33.49;24.08
32;195.1;-0.05;24.51;33.52;23.99
33;195.2;-0.03;24.4;33.55;23.9
34;195.3;-0.04;24.26;33.59;23.78
35;195.4;-0.04;24.13;33.64;23.67
36;195.5;-0.05;24.01;33.71;23.56
37;195.6;-0.05;23.93;33.8;23.51
38;195.7;-0.05;23.92;33.92;23.51
39;195.8;-0.05;23.97;34.12;23.57
40;195.9;-0.05;24.08;34.56;23.7
