Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;-9.3;14.39;25.0;14.03
2;192.1;-9.3;14.39;24.49;13.98
3;192.2;-9.3;14.38;23.96;13.93
4;192.3;-9.3;14.38;23.37;13.86
5;192.4;-9.3;14.38;22.64;13.77
6;192.5;-9.3;14.38;21.69;13.64
7;192.6;-9.3;14.38;20.34;13.4
8;192.7;-14.97;11.3;18.03;10.47
9;192.8;12.32;20.73;12.29;11.71
10;192.9;12.57;20.76;12.08;11.53
11;193.0;-9.29;14.37;17.89;12.77
12;193.1;-9.29;14.37;20.25;13.37
13;193.2;-9.29;14.37;21.61;13.61
14;193.3;-9.29;14.36;22.55;13.75
15;193.4;-9.29;14.36;23.25;13.83
16;193.5;-9.29;14.36;23.81;13.89
17;193.6;-9.29;14.36;24.27;13.94
18;193.7;-9.28;14.36;24.65;13.97
19;193.8;-9.28;14.35;24.98;13.99
20;193.9;-9.28;14.35;25.27;14.01
21;194.0;-9.28;14.35;25.52;14.03
22;194.1;-9.28;14.35;25.74;14.04
23;194.2;-9.28;14.35;25.94;14.06
24;194.3;-9.28;14.35;26.12;14.07
25;194.4;-9.27;14.34;26.28;14.07
26;194.5;-9.27;14.34;26.43;14.08
27;194.6;-9.27;14.34;26.57;14.09
28;194.7;-9.27;14.34;26.71;14.09
29;194.8;-9.27;14.34;26.83;14.1
30;194.9;-9.27;14.33;26.94;14.1
31;195.0;-9.27;14.33;27.06;14.11
32;195.1;-9.27;14.33;27.16;14.11
33;195.2;-9.26;14.33;27.27;14.11
34;195.3;-9.25;14.33;27.38;14.12
35;195.4;-9.25;14.32;27.48;14.12
36;195.5;-9.25;14.32;27.59;14.12
37;195.6;-9.24;14.32;27.71;14.13
38;195.7;-9.24;14.32;27.85;14.13
39;195.8;-9.24;14.32;28.03;14.13
40;195.9;-9.24;14.31;28.34;14.15
